relief    y
0.576    129
0.576    166
0.576    137
0.576    105
0.576    155
0.576    178
0.576    181
0.576    174
0.576    171
1.569    165
1.569    187
1.569    184
1.569    181
1.569    193
1.569    116
1.569    158
1.569    165
1.569    169
1.569    179
1.569    203
1.569    153
1.569    193
1.569    181
1.569    187
1.569    173
1.569    175
1.569    203
1.569    211
1.569    106
1.569    114
1.569    140
1.569    193
1.569    210
1.569    196
1.569    231
1.569    247
1.569    177
2.451    145
2.451    120
2.451    124
2.451    344
2.451    225
2.451    430
2.451    110
2.451    118
2.451    174
2.451    193
2.451    232
3.609    224
3.609    171
3.609    410
3.609    518
3.609    374
3.609    387
3.609    341
3.609    326
3.609    537
3.609    533
3.609    261
3.609    460
3.609    480

