d2f	d2r	d2sett_cap	occurrence
0	6400	6248.199707	1
2088.061279	632.4555054	1303.840454	0
0	2701.851318	8634.813477	1
100	500	6016.643555	0
300	200	1414.213623	0
0	781.0249634	2404.163086	1
200	6573.431152	6280.127441	1
100	2640.075684	6661.081055	0
1860.107544	400	5968.249512	0
0	0	2531.797852	0
0	2901.723633	6824.22168	0
0	3800	3667.424072	0
0	538.5164795	3860.051758	0
0	2473.863281	6640.030273	0
1140.175415	500	583.0952148	0
0	4022.437012	4866.209961	1
0	2816.025635	5661.271973	0
0	2531.797852	2451.530029	1
0	640.312439	7653.104004	1
0	141.4213562	2507.987305	1
0	1697.056274	4700	1
0	3361.547363	6809.552246	1
500	2900	7354.590332	1
0	2469.817871	4410.215332	0
0	300	3328.66333	0
0	1360.147095	7017.834473	1
100	943.3981323	3605.55127	0
0	1878.829468	9037.699219	0
0	4494.440918	7306.161621	1
0	1769.180542	447.2135925	1
200	1941.648804	8237.717773	0
0	1897.366577	1802.775635	0
0	2529.822021	7400	1
0	4130.375488	8926.925781	0
141.4213562	141.4213562	4904.080078	0
0	3324.154053	2469.817871	1
0	4341.658691	9227.561523	0
0	1664.331665	1700	0
0	4300	3758.989258	1
2400	500	1923.538452	0
0	3962.32251	7494.664551	1
0	3300	4810.405273	0
0	1456.021973	4875.44873	1
0	2745.906006	4382.921387	1
0	1170.469971	6661.081055	1
0	2202.271484	2024.845703	1
0	854.4003906	2202.271484	1
0	2942.787842	4220.189453	1
0	6307.138672	7233.947754	0
100	1360.147095	5069.516602	1
0	3478.505371	5860.03418	1
700	200	1204.159424	0
200	2184.032959	2280.35083	0
0	3324.154053	2683.281494	1
1941.648804	1272.792236	2154.065918	0
100	2915.47583	2061.552734	1
0	2009.975098	2100	1
0	2983.286865	2906.888428	1
0	4687.216797	4964.876465	1
0	4101.219238	8049.844727	0
100	2418.677246	5408.327148	1
0	4455.333984	4623.851074	0
0	600	9227.561523	1
100	5147.814941	2720.294189	1
0	1529.705811	4561.797852	0
100	5315.072754	5769.748535	1
509.901947	2193.171143	4161.730469	0
100	2570.991943	4159.32666	0
100	300	583.0952148	0
0	1992.48584	8683.317383	1
360.5551147	2193.171143	1964.688232	0
1414.213623	100	100	0
0	3634.556396	3748.333008	1
0	1400	6529.931152	0
1627.88208	1000	3104.834961	0
0	100	7962.411621	1
0	2900	6239.391113	1
984.8858032	500	1421.26709	0
0	1700	4622.769531	1
0	1772.004517	3182.766113	0
0	2059.125977	3088.688965	1
800	316.2277527	223.6067963	0
0	2842.53418	500	0
0	848.5281372	7532.595703	1
0	538.5164795	5522.680664	1
0	424.2640686	200	0
0	1118.033936	3962.32251	1
0	1612.451538	3551.056152	1
0	2267.156738	9227.561523	1
0	948.6832886	6789.698242	1
0	600	3080.584473	1
0	1077.032959	6675.327637	1
0	4081.66626	6920.260254	0
948.6832886	282.8427124	4664.761719	0
0	5044.799316	5393.514648	0
100	3394.112549	2200	0
100	3301.514893	3956.008057	1
0	3505.709717	3001.66626	1
0	3701.351074	6462.97168	1
0	2758.622803	2687.005859	1
707.1068115	282.8427124	2302.172852	0
1581.138794	538.5164795	3106.444824	0
0	600	2773.084961	1
0	500	7694.153809	1
141.4213562	1029.562988	921.9544678	0
0	1118.033936	2140.093506	1
0	1118.033936	6987.130859	1
0	1552.41748	6844.706055	0
0	1200	1389.244385	0
0	984.8858032	6691.038574	1
100	1802.775635	1603.121948	1
0	2745.906006	4891.830078	0
0	1100	5103.919922	1
0	1486.606934	5000	1
0	1236.931641	3140.063721	0
424.2640686	600	4365.775879	0
0	2789.265137	8542.833008	1
0	948.6832886	6789.698242	1
200	6952.697266	5758.472168	1
0	1897.366577	5197.114746	0
500	100	3661.966797	0
0	1802.775635	4825.971191	1
100	400	5964.059082	1
0	4525.483398	9227.561523	0
100	1389.244385	4701.063477	0
0	1334.166382	4924.428711	1
0	2088.061279	3860.051758	1
1552.41748	700	8325.863281	0
0	1802.775635	3794.733154	1
0	5946.427734	5240.229004	1
0	1500	5235.456055	1
600	300	2831.960449	1
0	1077.032959	1503.32959	0
1118.033936	3324.154053	3471.311035	0
0	4604.345703	7523.961914	0
0	4110.960938	3584.689697	0
854.4003906	223.6067963	1700	0
0	2531.797852	5020.956055	1
0	1077.032959	6675.327637	1
0	670.8203735	4882.62207	1
0	905.5385132	9227.561523	1
0	282.8427124	1802.775635	1
0	2200	5280.151367	0
0	1421.26709	7011.419434	1
0	4080.441162	7849.203613	1
0	1581.138794	5300	0
0	2800	6010.82373	0
0	1252.99646	8023.091797	1
0	2400	2400	1
100	3649.657471	3805.259521	0
316.2277527	900	4410.215332	0
0	1920.937256	6600.757324	1
0	100	7080.254395	0
0	2624.880859	5800.861816	1
0	1303.840454	2641.968994	0
141.4213562	848.5281372	2376.9729	0
0	2789.265137	9227.561523	1
0	1552.41748	538.5164795	1
0	1431.782104	7787.811035	1
781.0249634	3605.55127	4002.499268	0
141.4213562	806.225769	2154.065918	0
0	509.901947	4729.693359	0
0	3436.568115	3911.521484	1
0	3041.381348	7421.590332	1
0	3577.70874	6365.532227	0
200	0	721.1102295	0
0	2433.10498	4686.149902	1
0	3800	9227.561523	1
0	948.6832886	4140.04834	0
0	412.3105774	3716.180908	0
100	2531.797852	2617.250488	1
1200	728.0109863	670.8203735	0
0	6762.395996	6140.032715	0
0	2683.281494	2469.817871	1
100	800	4850.772949	1
200	632.4555054	2408.318848	0
0	2024.845703	1077.032959	0
300	1389.244385	3130.495117	0
300	3981.205811	1500	1
0	3101.612549	9227.561523	0
100	3800	6476.109863	1
0	3522.782959	3238.826904	1
0	447.2135925	7629.547852	1
0	900	5178.802734	1
0	4031.128906	4569.463867	1
0	2220.360352	5307.541992	1
4295.346191	1400	1431.782104	0
200	2501.999268	2209.072266	1
0	905.5385132	1555.634888	0
0	583.0952148	7665.507324	1
0	2360.084717	2483.948486	0
0	223.6067963	2402.08252	0
0	2915.47583	4396.589355	1
632.4555054	360.5551147	1941.648804	0
1208.304565	100	100	0
0	100	4373.785645	0
0	848.5281372	806.225769	0
0	2529.822021	9227.561523	0
0	6226.556152	6789.698242	1
0	1200	3189.043701	0
100	2184.032959	1204.159424	0
2408.318848	2906.888428	3275.667969	0
0	4808.326172	7529.276367	1
0	447.2135925	3764.306152	0
0	900	5671.860352	1
0	3383.784912	6300	1
0	2408.318848	6888.395996	0
0	3800	4720.169434	1
100	5948.108887	5249.761719	0
1166.19043	1700	4427.188965	0
282.8427124	1000	6140.032715	0
0	1421.26709	2473.863281	0
0	3080.584473	2816.025635	1
0	1788.85437	9227.561523	0
0	2561.249756	6493.843262	1
0	2927.456299	2332.380859	1
200	4049.691406	4517.742676	1
1118.033936	943.3981323	781.0249634	0
0	200	670.8203735	0
0	3041.381348	2302.172852	0
100	2549.509766	2601.922363	0
583.0952148	781.0249634	2100	0
0	4669.046875	4031.128906	0
0	3354.102051	854.4003906	0
0	4604.345703	6797.793945	1
0	3748.333008	4110.960938	1
0	600	5235.456055	0
583.0952148	200	5008.991699	0
0	2247.220459	9227.561523	0
200	2624.880859	4904.080078	1
0	806.225769	7211.102539	0
0	3306.054932	3395.585449	0
0	4341.658691	6754.257813	0
2302.172852	1500	1860.107544	0
0	2236.067871	2343.074951	0
1414.213623	700	707.1068115	0
424.2640686	2193.171143	3101.612549	0
0	1878.829468	9227.561523	1
0	100	1746.424927	1
0	1843.908936	2617.250488	0
0	1200	3956.008057	0
100	100	3956.008057	0
905.5385132	943.3981323	943.3981323	0
0	3601.388672	7641.989258	1
0	2973.213867	3613.862305	0
100	700	9109.335938	0
707.1068115	1529.705811	2236.067871	0
806.225769	100	4916.299316	0
0	1360.147095	2102.379639	0
0	2300	4201.19043	0
707.1068115	806.225769	6718.630859	0
1500	538.5164795	1676.30542	0
0	900	5178.802734	1
0	3298.484619	4767.599121	1
0	1664.331665	8431.488281	1
1431.782104	894.4271851	1264.911011	0
5140.039063	0	316.2277527	0
0	4400	3847.076904	1
0	761.5773315	7467.261719	1
0	1700	7343.023926	1
0	2523.885986	1236.931641	0
0	4707.440918	9227.561523	0
0	2184.032959	5353.503418	1
200	7316.419922	5393.514648	0
0	1702.938599	3667.424072	1
0	0	4123.105469	0
854.4003906	141.4213562	316.2277527	0
0	2600	8723.53125	1
0	3352.61084	6972.087402	1
0	3300	2906.888428	1
0	1000	1800	1
0	7424.284668	6576.473145	0
1063.014526	4882.62207	5115.662109	0
1835.755981	200	2501.999268	0
0	1334.166382	6236.986328	1
0	2319.482666	5787.054688	1
0	2435.15918	3535.533936	0
500	565.6854248	400	0
0	3492.849854	6300.793457	1
0	4301.162598	4609.772461	0
0	4482.187012	3006.65918	0
141.4213562	848.5281372	1360.147095	0
0	3124.099854	2332.380859	0
0	3361.547363	6826.419434	0
600	3405.877197	8778.382813	0
0	3860.051758	5646.237793	1
100	4031.128906	4386.342285	1
0	200	2195.449951	0
0	2088.061279	9227.561523	0
0	5869.412109	5280.151367	0
0	1603.121948	7462.573242	1
0	2816.025635	3046.309326	0
0	5758.472168	7566.373047	1
728.0109863	1236.931641	2996.664795	0
0	2402.08252	2729.46875	1
728.0109863	1029.562988	223.6067963	0
0	1272.792236	1004.987549	0
300	1004.987549	3733.630859	1
0	282.8427124	2280.35083	0
0	4472.135742	4657.252441	1
600	3330.165039	1941.648804	0
0	1431.782104	4965.883789	1
500	424.2640686	360.5551147	1
0	700	761.5773315	1
100	1392.838867	4972.926758	1
0	3911.521484	6378.871582	1
200	412.3105774	3036.445313	0
0	282.8427124	4205.948242	0
500	3087.069824	7472.616699	1
0	860.2325439	7443.117676	1
300	4301.162598	4883.645996	1
0	1838.477661	1860.107544	1
2184.032959	2720.294189	3860.051758	0
0	500	9227.561523	0
