catchm_name	max_elev	sample_elev	stream_length	catchm_area	NO3	TON	TN	NH4	DOC	SO4	CL	CA	MG	H
Santa_Cruz	1006	680	1680	23	24.2	5.6	29.9	0.8	180.4	50.6	15.5	54.7	14.4	0.48
Colgate	1216	628	3912	462	25.4	4.9	30.3	1.4	108.8	55.4	16.4	58.4	17	0.24
Halsey	1204	625	4032	297	29.7	4.4	33	0.8	104.7	56.5	17.1	65.9	19.6	0.47
Batavia_Hill	1213	663	3072	399	22.1	6.1	28.3	1.4	84.5	57.5	16.8	59.5	19.5	0.23
Windham_Ridg	1074	616	2520	207	13.1	5.7	17.6	0.6	82.4	58.3	18.3	54.6	21.9	0.37
Silver_Sprin	1113	451	3120	348	27.5	3	30.8	1.1	86.6	63	15.7	68.5	22.4	0.17
Little_Timbe	1027	463	2064	179	28.1	4.7	32.8	1.4	91.9	66.5	26.9	84.6	26.2	0.14
Hunter	1234	634	4416	504	31.2	5.4	37.1	2.5	39.1	64.5	22	73.1	25.4	0.14
West_Kill	1234	658	3600	546	22.6	3.1	26	3.1	66.6	63.4	21.3	71.1	21.8	0.16
Mill	1137	674	2856	279	35.9	4.9	39.8	1.4	59.3	58.4	29.8	91.2	22.2	0.1
Kelly_Hollow	1061	533	3960	516	35.9	2.9	40.8	0.6	51.3	70.6	18.4	94.4	28.5	0.11
Pigeon	1173	619	4608	706	22.4	5.8	28	1.1	93.7	56.9	16.6	59.4	16	0.27
Biscuit	1125	619	5616	992	22.2	4	25.8	0.8	83.5	56.7	16.6	46.7	17.5	0.46
Fall	1018	530	7176	1263	20.5	3.9	23.3	0.8	70.1	60.4	19.4	70	18.2	0.22
Bear_Hole	1171	363	6960	804	24.9	5.7	30.7	0.8	67.4	67.8	19.9	43.9	25	0.5
Buttermilk_F	1076	405	2856	183	33.1	6.2	40.6	1.4	104.4	70.8	20.6	53.3	26.3	0.5
Rondout	1171	454	6456	1686	23.4	3.8	26.5	1.1	61.2	58.6	21.5	35.6	19.6	1.33
Kanape	939	334	4704	766	10.2	5.9	16.7	2.2	40.2	59.5	25.5	60.3	30	0.15
Woodland_Val	1277	425	5280	1380	18.6	6.6	25.3	2.5	44.1	55.5	24.5	44.2	24.9	0.35
Broadst_Holl	1180	433	4752	996	19.5	6.8	27.1	3.3	70.8	63.4	22.4	78.4	27.7	0.12
Pecoy	1161	591	2904	290	28	4.5	31.9	1.9	84.9	57.8	26.4	56.1	15.5	0.5
Prediger	1030	610	2688	125	21.5	3.9	24.9	3.1	85.1	55.1	20.5	40.8	13.8	1.14
Bear_Pen	1076	497	2544	209	22.6	7.7	30.8	1.7	99.5	65.5	13.4	72.5	25.7	0.12
Weaver	1021	786	960	33	17.2	6.7	24	1.4	66.1	62.7	13	50.3	22.2	0.37
BWS6	754	512	2016	144	3.8	5.7	10.9	1.9	51.3	72.1	18.7	73.4	30.1	0.17
Halcott	1039	555	1584	107	20.9	6.2	27.6	2.2	66.8	63.4	24.6	62	27.4	0.17
Tonshi	762	293	2976	267	2.1	5.6	8.3	1.7	82.4	68.5	78.8	54.5	34.7	0.11
Grog_Kill	863	271	3384	441	3	7.1	10.5	2.2	58.9	65.8	63.6	82.8	31.7	0.09
Hollow_Tree	1137	457	3096	492	36.1	3.9	40.4	1.9	42.7	69.2	22.3	81.8	26.5	0.1
Lost_Clove	1091	460	3000	413	22.4	5.8	28.4	2.2	45.4	66.7	18.6	70.4	28.8	0.16
Black	1137	683	4416	376	34.4	2.8	36	1.4	49.5	59.3	14.9	68.6	18.7	0.13
Styles	1186	576	3840	395	31.8	5.5	37.7	0.8	83.3	61.1	17.8	69.4	22.5	0.2
Warners	1173	418	8328	1835	21.6	3.6	25.3	1.4	65.4	62.1	34.4	76.8	24.6	0.1
Kittle	957	567	1800	63	32.2	4.4	36.4	2.2	66.2	70.4	24.4	82.5	25.6	0.16
Traver_Hollo	887	311	3000	604	16.2	4.6	21.3	1.1	57.5	62.1	21.9	67.9	22.8	0.13
Willowemoc	983	607	5472	915	19.8	3.2	22.8	1.4	42.7	64.6	16.4	75.5	16.5	0.18
Myrtle	1219	475	4320	476	17.4	3.6	22.3	2.5	42.9	61.4	21	63.4	19.2	0.14
Becker_Hollo	1231	588	2664	376	26.9	4.7	30	2.5	55.8	56.9	20.9	58.6	18.2	0.16
